tower_id,rectifier_alarms_30d,battery_sag_events_30d,door_open_hours_30d
MY_N4625586066,13.53,24.6,19.13
MY_W1311793313,1.47,2.76,1.73
MY_N4625627407,7.25,13.01,2.21
MY_W1311793315,7.45,4.7,7.71
MY_W1311793314,50.83,10.77,7.66
MY_N4567112599,1.23,1.43,1.98
MY_N4625637084,3.52,1.12,1.59
MY_W1311840962,10.3,3.76,4.05
MY_W1311840972,3.92,2.03,1.33
MY_N3604853933,2.51,2.13,2.91
MY_N4955138206,8.21,6.48,2.95
MY_N4760131971,7.06,1.65,3.25
MY_N4573203388,1.55,5.57,2.39
MY_N5952916379,4.4,5.38,5.61
MY_N4612165249,7.6,2.05,2.54
MY_N8825706826,24.03,25.29,4.21
MY_W879207161,15.41,19.54,3.85
MY_N5646827136,0.13,0.25,1.42
MY_N4560309077,7.2,10.49,11.44
MY_N4758418627,12.28,17.0,7.68
MY_N5931380383,0.0,0.58,1.98
MY_N4560309078,0.0,0.0,2.02
MY_N5931380384,1.39,2.44,7.77
MY_N14135289964,6.63,2.43,2.73
MY_N12434275222,3.2,3.4,3.47
MY_N12434275187,4.5,5.52,2.8
MY_N4952889109,2.09,1.72,0.27
MY_N7049747274,2.96,0.85,1.15
MY_N4218038791,0.64,0.0,1.66
MY_N7003374699,0.3,1.43,1.5
MY_N12397225227,15.78,11.43,3.38
MY_N12397225226,0.01,0.52,0.07
MY_N12397225225,5.63,5.73,3.58
MY_N12397225228,0.0,0.0,0.84
MY_N12397225224,3.55,16.03,5.02
MY_N12397225229,0.0,0.0,0.74
MY_N12432739231,0.23,0.13,0.77
MY_N12397225230,4.99,7.49,1.88
MY_N12397225231,0.23,1.69,2.16
MY_N12397225232,0.0,1.52,3.94
MY_N12432739232,1.76,3.1,9.92
MY_N12397225233,0.0,0.96,0.77
MY_N12432739233,0.17,0.28,2.24
MY_N506433555,18.14,10.13,17.24
MY_N12432739234,2.34,0.07,2.77
MY_N12717488852,1.84,13.05,1.24
MY_N6795232571,0.0,0.62,0.89
MY_W1312400607,1.09,2.44,3.95
MY_W1312400606,10.8,1.78,1.29
MY_W1312400608,1.46,6.86,1.9
MY_W1312840745,0.0,0.05,1.64
MY_W1312840761,2.15,0.27,4.44
MY_N5392512623,4.31,2.49,1.81
MY_N11399381206,3.29,1.14,5.51
MY_W1274670480,9.96,9.2,4.31
MY_N12441857996,0.54,1.48,0.39
MY_N3720185425,5.04,5.16,3.97
MY_N3234716501,10.27,5.39,3.14
MY_N7567968606,0.0,1.52,0.15
MY_W1165977860,2.85,3.01,3.72
MY_N8090717866,3.06,1.16,8.25
MY_N8091057340,0.66,0.32,0.62
MY_N8091061663,8.08,7.42,2.72
MY_N7594127522,24.94,6.97,1.39
MY_W1254490022,1.95,1.9,2.19
MY_W1254490023,1.7,1.14,1.91
MY_W1254490021,5.31,5.62,1.76
MY_N12497506008,9.54,18.48,1.57
MY_N12968711538,8.03,7.89,2.9
MY_N12458638891,3.69,4.25,7.11
MY_N4928415626,0.0,0.15,1.98
MY_N11766381937,4.08,10.23,5.24
MY_N1727292934,0.47,0.71,1.67
MY_N3782301332,4.96,8.05,6.41
MY_N6130994429,0.22,1.24,0.61
MY_W1122921707,0.26,0.0,0.03
MY_W1255218612,1.31,1.66,0.41
MY_W1255218611,0.0,0.42,2.07
MY_W1122921706,6.24,0.76,2.02
MY_W1255218623,2.88,1.4,4.2
MY_W1122921708,1.64,1.69,2.33
MY_W1255218617,4.08,4.98,3.7
MY_W1255218618,7.9,5.42,1.6
MY_W1255218619,3.01,6.42,11.2
MY_N8085760113,13.47,10.16,9.73
MY_N8095997576,2.42,1.62,3.53
MY_N8106032860,0.39,1.53,0.84
MY_N7417373280,0.0,0.72,0.12
MY_N8263445806,1.98,6.03,7.95
MY_N8263445804,14.95,10.48,6.36
MY_N8263445805,4.09,4.13,2.99
MY_N8263445803,3.78,3.7,6.98
MY_N8099999650,0.07,0.97,2.67
MY_N7923607620,0.86,1.04,2.59
MY_N11221657074,0.0,0.78,1.06
MY_N8066614434,5.1,3.19,4.72
MY_N8068563589,6.13,20.6,3.32
MY_N5380592531,19.66,11.4,4.61
MY_N2419619291,0.94,0.13,0.64
MY_N9938117617,7.1,25.8,7.77
MY_W1144244595,6.52,14.62,4.29
MY_N8221431663,6.68,3.57,1.47
MY_N11738300326,14.39,20.02,5.11
MY_W1259361634,11.92,6.04,3.56
MY_N14031280271,2.32,0.87,0.56
MY_N12603668089,18.65,26.35,8.06
MY_N5230359448,5.9,19.38,4.68
MY_N8513142479,1.0,8.32,2.82
MY_N13331200729,11.87,8.07,9.05
MY_N12988846941,7.22,8.18,2.72
MY_N11361040488,1.74,3.44,4.06
MY_N4282405794,7.41,6.6,6.72
MY_N1989261313,12.06,11.46,13.55
MY_N4688736584,10.65,4.12,9.98
MY_N10230275358,2.7,9.06,5.75
MY_N12531429458,11.7,36.37,13.96
MY_N8659560397,6.26,14.02,8.78
MY_W1261862989,1.61,0.69,2.0
MY_N8148777715,11.78,10.43,2.46
MY_N10224694924,2.73,7.1,7.9
MY_N12717364277,8.57,5.69,8.68
MY_W1258156597,4.43,1.24,5.94
MY_N8088772324,11.61,11.41,9.65
MY_N10230298029,2.61,5.95,3.44
MY_N12926409708,42.98,8.78,5.75
MY_N8008855555,4.09,3.09,5.87
MY_W1552737108,0.0,1.19,0.2
MY_N12038575594,4.51,19.29,5.38
MY_N8490772188,6.7,11.32,12.17
MY_N8201683420,6.14,3.79,4.58
MY_N8202178174,10.0,12.61,3.28
MY_N12927458268,6.1,2.31,10.18
MY_N8009459244,10.72,17.31,10.56
MY_N8487785684,12.4,6.67,7.89
MY_N8487785683,0.46,0.58,0.67
MY_N8006989819,7.93,6.67,9.12
MY_N8125185377,1.39,4.49,1.72
MY_N8044656639,7.41,14.48,5.86
MY_N8148264450,1.44,0.43,0.86
MY_N10317040484,2.38,3.37,7.9
MY_N8044687304,31.05,12.28,4.75
MY_N8044671936,5.02,5.74,5.89
MY_N8044156760,29.75,17.2,5.44
MY_N10923563956,5.73,2.79,6.8
MY_N8143719855,0.0,0.0,2.73
MY_N5599579030,0.43,0.0,3.88
MY_N8281177692,2.89,1.4,3.81
MY_N10672756622,11.21,18.13,5.54
MY_N8044980541,8.57,16.59,12.1
MY_N403749609,2.5,2.42,3.01
MY_N5453636981,5.71,11.87,9.1
MY_N4069889954,11.74,12.57,13.83
MY_N4749127191,0.6,1.99,2.09
MY_N8044342361,6.57,0.36,1.45
MY_N12042056319,8.32,2.25,7.34
MY_W972995057,2.04,1.01,1.14
MY_N5788369100,0.12,0.0,1.16
MY_N5788369099,0.04,0.0,2.29
MY_N8089011204,1.52,3.78,6.22
MY_W1230312032,0.0,0.0,0.47
MY_N4124017619,0.0,0.64,0.33
MY_N4225703452,1.38,4.75,1.98
MY_N4124017453,0.54,2.29,1.74
MY_N4124017454,0.08,0.55,0.35
MY_N4124069725,0.0,2.0,4.1
MY_N4124069726,1.72,0.48,3.34
MY_W1364627838,0.0,0.0,0.33
MY_N8385914978,8.28,1.73,2.41
MY_N4124069727,1.38,1.03,1.22
MY_N4124069728,2.41,1.19,1.67
MY_N8141381598,0.0,0.0,0.0
MY_N4124069729,0.0,0.28,1.51
MY_N11358783333,1.25,11.31,6.26
MY_N4124069730,2.95,0.93,1.78
MY_N11975720519,5.9,2.35,1.1
MY_W1258179518,1.2,0.51,5.7
MY_W1286305455,0.99,3.45,5.42
MY_W1286305456,2.95,7.0,2.01
MY_N8141531800,0.47,1.72,2.0
MY_W1286305457,1.64,0.0,4.54
MY_N5462691797,7.91,5.23,9.87
MY_N412048097,3.73,2.87,1.82
MY_N412048098,8.06,4.73,10.18
MY_N13886055362,0.0,0.14,2.29
MY_N8082097597,9.89,1.84,2.55
MY_N11853239841,3.89,1.43,1.98
MY_N11403863828,1.45,0.53,1.86
MY_N8119252103,11.6,14.42,5.49
MY_N8004289377,0.92,8.34,4.02
MY_N9498642399,1.2,0.0,1.49
MY_N12133717335,2.49,4.02,8.25
MY_N8114405464,0.0,0.0,2.33
MY_N8081694353,5.24,4.44,0.4
MY_N12366513311,0.71,5.85,3.17
MY_N12366513312,0.81,0.82,0.86
MY_N1982558019,0.0,0.0,2.32
MY_N13763999844,2.24,1.17,1.09
MY_N13103629668,0.13,0.0,2.52
MY_N13103629669,0.3,3.74,7.43
MY_N13103629667,4.09,3.19,4.23
MY_N13103629670,0.27,0.32,2.72
MY_N8254911755,0.15,0.0,0.16
MY_N13103629671,0.14,1.84,1.16
MY_N5597298234,0.0,0.45,1.39
MY_W1262375280,2.44,2.36,2.28
MY_N8004208520,6.32,13.75,5.9
MY_N12384569108,2.41,2.57,2.48
MY_N8255238093,0.47,0.0,0.0
MY_N8120556662,0.0,0.0,0.82
MY_N8255238086,0.0,0.0,2.42
MY_N8255238092,0.0,0.0,2.49
MY_N7841645805,1.88,2.22,1.45
MY_N8081515935,5.3,5.65,4.71
MY_N8224457107,3.48,6.82,4.08
MY_W1259473617,3.81,9.59,5.68
MY_N6093033474,13.16,10.68,5.51
MY_N11548619078,1.21,0.36,2.1
MY_N8146281229,0.51,0.0,2.73
MY_N11529006459,0.35,0.84,0.88
MY_N8047942568,0.0,0.34,1.97
MY_W138669843,0.52,0.16,0.57
MY_W1264710479,3.35,0.3,5.26
MY_N11264702921,0.0,0.0,0.8
MY_N11346244297,0.0,0.0,0.86
MY_N13584271255,8.04,3.79,6.28
MY_N12247796176,2.64,1.72,2.23
MY_N8048433914,0.0,0.0,0.97
MY_N12194813653,5.88,1.46,5.82
MY_N7842060099,0.57,19.25,4.53
MY_N9471829676,0.0,1.01,2.92
MY_N9466091146,34.81,21.45,10.96
MY_N11607769670,0.0,0.0,0.64
MY_N9469280562,0.0,0.0,1.13
MY_N9469288221,0.0,0.0,0.81
MY_N10578741616,0.1,0.0,1.15
MY_N9469288220,0.0,0.0,0.0
MY_N11559092888,0.86,0.1,0.87
MY_N12533942882,1.38,2.85,1.45
MY_N12941843009,4.6,1.49,2.95
MY_N12266031222,1.23,0.58,2.48
MY_N4436507977,24.2,26.94,6.73
MY_W1285114522,26.46,17.94,3.13
MY_N9029115227,3.87,4.25,2.0
MY_N8542747596,0.0,0.7,1.01
MY_W728820001,0.85,0.16,0.41
MY_W728820002,51.12,39.68,10.96
MY_W728820006,0.78,0.71,1.52
MY_N8542747597,3.47,0.77,2.52
MY_N8542747595,0.0,0.68,1.67
MY_N11607773741,5.19,1.73,2.64
MY_N8542747598,0.8,0.14,2.52
MY_N11226315843,7.03,17.16,2.67
MY_N9504789637,42.77,10.65,10.28
MY_N11768370522,2.97,1.45,12.47
MY_N8058373534,3.03,4.22,3.19
MY_N8058373535,15.94,1.4,0.96
MY_N8058373539,5.25,5.68,2.88
MY_N9602824113,0.25,0.0,2.87
MY_N12167585701,1.96,2.07,4.27
MY_N3765022576,4.42,1.44,3.28
MY_N12167585702,5.05,5.87,4.1
MY_N3901579495,2.14,0.0,1.27
MY_N12167559700,5.66,5.84,10.99
MY_N12167559699,2.06,2.08,3.16
MY_N12182196429,0.59,0.0,0.46
MY_N3902995339,13.16,12.29,2.73
MY_N7808912865,0.55,2.1,5.29
MY_N7808912864,1.5,3.69,1.79
MY_N7806418386,0.0,0.16,0.47
MY_W1117797547,0.0,0.0,1.34
MY_W1117797548,0.0,0.0,1.28
MY_W545000403,10.2,0.96,5.71
MY_N7838524135,3.24,3.63,2.19
MY_N13247860091,0.02,0.1,1.28
MY_N12264929850,0.68,0.0,0.49
MY_W972394406,10.93,9.08,5.42
MY_N12068508652,8.45,4.5,4.69
MY_N12068508739,2.85,1.62,2.17
MY_W1545410223,4.28,9.28,3.19
MY_N6174781121,4.27,0.9,0.37
MY_N8157413021,1.02,0.86,1.45
MY_W1545410209,3.17,0.74,0.2
MY_W1545410197,39.12,12.18,12.07
MY_W1545410199,5.52,3.29,3.45
MY_W1259673925,17.81,13.49,5.61
MY_N9759198822,7.23,10.9,8.68
MY_N7838524117,0.25,0.0,2.11
MY_N13439298450,4.61,2.47,1.79
MY_N12152835803,0.0,0.0,0.58
MY_N3902995338,7.42,2.13,9.93
MY_N12152835735,0.0,0.0,0.0
MY_N12145341915,0.0,0.0,0.23
MY_N12141160951,0.0,0.1,4.45
MY_N12241218628,1.47,1.23,4.01
MY_N12111896153,0.26,0.54,1.1
MY_N12114343550,0.0,0.0,1.34
MY_N12111896121,0.0,0.0,1.57
MY_N12147506121,0.36,2.58,2.85
MY_N12145341985,0.0,1.05,0.29
MY_N12143414619,0.0,1.69,0.82
MY_N12137013089,8.84,6.54,2.17
MY_N12137013090,13.96,5.43,1.51
MY_N12110057369,2.17,0.31,6.46
MY_N12137013091,11.82,10.51,7.92
MY_N12241218640,2.91,8.17,2.96
MY_N12137013092,8.87,8.6,6.55
MY_N12137013099,1.2,0.42,3.63
MY_N12137013093,12.35,8.74,8.26
MY_N13015545329,6.69,8.97,4.52
MY_N12137013100,2.79,6.72,1.41
MY_N13015606466,17.55,5.32,10.54
MY_N12137013095,0.59,2.64,1.59
MY_N12137024408,0.0,0.8,3.97
MY_N13015545330,3.51,11.02,4.17
MY_N13015606467,35.8,30.99,16.08
MY_N12137024401,4.06,2.21,2.25
MY_N12137024407,2.26,2.9,2.24
MY_W545795634,0.46,2.17,2.61
MY_N12137013094,2.47,6.81,9.03
MY_N12137024409,28.54,17.74,8.71
MY_N13015606465,2.53,11.82,2.29
MY_N12137013096,6.59,19.88,3.02
MY_N13015606468,7.98,4.35,8.68
MY_N12137024402,1.29,3.96,2.18
MY_N7838524104,0.54,0.0,0.27
MY_N12137024406,8.02,17.22,8.92
MY_N13015606469,1.44,3.26,1.79
MY_N12137013097,16.17,4.5,6.18
MY_N12137024403,4.35,9.77,1.64
MY_N13015545328,0.79,3.18,0.75
MY_N13015606470,9.15,4.56,2.74
MY_N12137013080,3.35,2.47,1.48
MY_N12137013081,5.16,2.7,16.11
MY_N12137013082,1.16,6.59,7.25
MY_N12137013083,0.73,0.67,3.3
MY_N12137013098,5.48,2.52,1.14
MY_N12137013084,4.26,5.53,9.31
MY_N12137024404,2.59,2.02,2.25
MY_N12137013088,11.7,4.05,10.98
MY_N12137024405,3.16,0.0,1.58
MY_N12137013087,27.72,17.8,22.64
MY_N12137013085,5.71,1.85,1.13
MY_N13015545327,7.33,2.92,12.83
MY_N12137013086,3.74,5.81,2.16
MY_N7838524095,0.89,0.18,1.79
MY_N8214146544,3.6,4.73,5.46
MY_N10943434976,0.0,0.0,1.41
MY_W545795646,3.23,1.1,3.02
MY_W694482621,2.19,0.21,4.37
MY_N3902995337,3.46,5.37,3.43
MY_W694495534,0.0,0.0,0.33
MY_N12169092717,0.53,0.0,0.23
MY_N10991780746,0.69,0.1,3.17
MY_N13474572720,0.59,1.56,3.25
MY_N9944968255,0.0,0.0,0.0
MY_N1945539635,4.4,12.0,7.98
MY_N12030488094,2.13,1.71,3.16
MY_N8063350945,2.06,0.32,1.05
MY_N13845846105,7.89,3.63,2.86
MY_N13845846092,0.0,0.0,1.99
MY_N4200388722,0.0,0.0,0.93
MY_W1366117482,11.5,6.2,2.36
MY_N6142258135,2.04,1.61,2.21
MY_N2425808221,0.26,0.0,1.53
MY_N8084941767,6.63,2.28,6.72
MY_W1288067099,1.43,1.53,6.74
MY_N11257618116,4.56,9.83,2.38
MY_N11985118591,1.75,0.1,0.18
MY_N7848117182,8.44,14.8,7.17
MY_N14060840318,2.17,1.77,6.57
MY_N11189951508,0.0,0.0,1.62
MY_N11189951504,2.35,0.14,0.41
MY_N9126977972,1.21,3.25,3.77
MY_N9126977973,1.61,0.64,1.74
MY_N8735935858,3.92,3.65,5.33
MY_N8434323581,0.32,0.96,0.67
MY_N8434323582,3.95,2.35,0.5
MY_N3901579555,13.67,31.33,6.08
MY_W1367367946,18.19,12.59,10.26
MY_N5510158257,12.21,6.79,7.39
MY_N8261057768,0.48,1.49,0.32
MY_N5510158263,4.95,10.39,3.44
MY_N5510158299,2.73,0.0,0.16
MY_N5510158305,8.69,2.18,3.49
MY_N3901579514,8.38,4.51,2.75
MY_N8259081451,3.01,6.12,6.47
MY_N5510158307,4.15,5.12,3.92
MY_N9006098842,11.74,22.76,5.03
MY_W1368598193,11.47,7.2,5.3
MY_N8032528770,8.82,12.26,6.52
MY_N5742976628,20.18,28.31,3.69
MY_W1368699691,0.13,0.66,1.96
MY_W1368623543,13.07,14.47,14.13
MY_N9621355555,15.18,11.21,5.57
MY_N11241526897,6.05,2.02,2.04
MY_N3273231502,7.74,12.94,1.94
MY_N11241526902,4.81,4.92,9.84
MY_N3273231509,0.97,1.3,0.93
MY_N8752918921,12.84,3.77,4.51
MY_W1372701089,3.41,0.25,1.23
MY_N4663189043,1.71,2.25,4.52
MY_W1381588641,3.46,4.19,0.05
MY_N10230277433,0.49,1.59,0.87
MY_N13713417878,10.03,8.98,11.77
MY_N8459640140,0.64,0.87,1.45
MY_N9038308805,4.19,17.23,9.37
MY_N13686660305,4.56,13.16,6.59
MY_W1533443392,0.63,0.68,1.24
MY_N13712401727,15.61,23.06,11.63
MY_N8025981358,6.68,10.11,4.7
MY_N8025859449,7.42,42.15,9.97
MY_N13663195383,2.7,7.65,5.92
MY_N13663195381,1.55,10.47,6.76
MY_N13663195382,10.45,13.6,10.17
MY_N13663195380,6.76,9.87,4.04
MY_N4193669752,0.0,0.61,0.8
MY_W1383475622,17.06,5.17,5.5
MY_W1491528657,8.0,16.4,5.39
MY_N8778604184,5.35,1.39,1.9
MY_N8348937880,26.7,9.45,8.76
MY_N8277786902,5.17,7.41,3.55
MY_N13686353602,4.39,3.58,3.9
MY_N13678931196,1.48,8.07,3.59
MY_N8780937436,0.3,0.5,0.45
MY_N8780937437,0.82,0.4,2.43
MY_N8780937438,0.0,0.0,0.0
MY_N8025609742,16.9,6.37,4.07
MY_N13805621364,8.47,4.08,11.58
MY_N8785448481,10.98,2.86,10.39
MY_W823099395,0.0,0.98,4.38
MY_W823097930,0.17,0.0,0.0
MY_N13678930905,39.01,24.13,12.51
MY_W1456021260,7.79,5.17,4.95
MY_N13686353632,3.94,3.6,2.56
MY_W1492305145,14.64,7.8,10.15
MY_N3902995326,13.42,22.23,13.44
MY_N3902995325,2.49,0.88,6.04
MY_N8789765101,1.63,0.18,2.11
MY_W818384093,3.11,7.69,3.74
MY_N13685405063,19.99,10.63,30.84
MY_N3902995324,1.92,1.4,2.43
MY_N4958058752,1.8,1.24,4.72
MY_N12546408507,9.46,9.82,5.6
MY_N12546408513,12.93,16.18,7.25
MY_W810687871,1.83,2.46,3.96
MY_N13459535295,12.26,4.68,5.52
MY_N11972377225,0.0,0.34,0.79
MY_N4963875869,27.57,15.68,6.27
MY_W1312628412,5.95,4.36,14.71
MY_N8791272543,22.22,4.67,4.29
MY_N4970042970,11.95,8.04,2.62
MY_W822583264,2.6,22.51,2.38
MY_W822583298,3.85,13.41,6.44
MY_W818064274,6.79,13.85,12.72
MY_N6555076109,14.8,18.92,5.94
MY_N4970042971,2.51,1.81,3.85
MY_N9324749766,1.37,0.7,2.38
MY_W1492798729,0.61,1.08,11.63
MY_W1311799403,7.08,5.22,1.91
MY_W1386907231,20.56,15.67,7.32
MY_N5012069413,3.72,1.16,1.22
MY_N5723067598,1.58,2.01,10.87
MY_N3813367954,12.99,7.42,6.97
MY_N1870943138,1.91,2.85,1.09
MY_N4970042972,0.08,0.42,4.31
MY_N4999309149,0.97,1.28,2.39
MY_N1869579109,0.0,2.52,5.52
MY_N8794834933,0.0,0.0,0.0
MY_N8794834932,0.0,0.0,1.86
MY_N8794834931,0.0,0.0,0.0
MY_N4970042973,4.96,1.97,10.41
MY_N11972345281,0.0,0.0,0.38
MY_N13679676092,11.62,7.46,2.14
MY_N3902995323,0.63,0.33,3.16
MY_N13700552576,0.82,5.2,5.44
MY_N9099933246,2.6,0.54,1.56
MY_W1529662867,0.41,0.55,4.87
MY_N13953354888,3.06,7.13,1.08
MY_N13701267976,8.9,7.67,8.15
MY_N13919815292,4.46,6.17,6.87
MY_N13659918586,44.53,11.01,5.76
MY_N13116648924,4.57,2.36,5.22
MY_N13977483959,0.61,2.53,3.61
MY_N14017332911,0.65,0.55,4.02
MY_N13057626241,20.42,10.53,9.37
MY_N9038308804,23.43,17.07,7.54
MY_N3902995322,1.24,4.0,10.62
MY_N3902995321,0.0,1.49,2.5
MY_N9038308801,3.73,0.21,0.36
MY_W1318445327,5.03,10.65,1.48
MY_W1318445329,10.91,8.54,7.28
MY_W1318445322,2.22,1.34,1.02
MY_W1318445328,0.36,1.84,3.51
MY_N4951837872,1.62,1.1,3.15
MY_N11142031514,6.01,3.85,5.56
MY_N13710652786,0.66,0.93,1.17
MY_N13682521098,14.31,9.42,8.45
MY_N6251035648,30.38,7.09,6.23
MY_N8920295576,23.59,19.42,4.62
MY_N9038308802,3.34,5.34,13.19
MY_N8962634816,15.1,8.1,6.44
MY_N13682521114,5.04,2.09,2.29
MY_N13682149677,7.28,0.5,1.4
MY_N6721910508,0.7,0.45,0.15
MY_N6721910509,0.03,0.29,5.86
MY_N8923088437,18.51,42.13,8.18
MY_N14089499502,1.68,11.15,5.24
MY_N8330712478,10.94,12.72,11.92
MY_N9810551836,2.72,7.62,3.39
MY_N8813291617,0.93,6.81,5.22
MY_N5821570253,1.01,6.84,2.78
MY_N5825177638,2.33,4.21,1.16
MY_N13710662203,0.23,0.8,2.19
MY_N13672724268,5.77,4.24,2.65
MY_N8813215619,3.31,6.99,10.42
MY_N8812260333,21.32,14.69,21.51
MY_N6119769616,3.7,4.0,6.06
MY_N8330792847,2.53,11.2,5.8
MY_N13684596777,1.06,1.09,1.92
MY_N9810551665,16.83,9.5,11.17
MY_N13690665303,4.74,1.52,7.58
MY_N5991228999,9.43,2.33,4.79
MY_N13691070933,0.28,0.91,1.67
MY_N3901607133,8.85,17.21,4.64
MY_N8948810495,0.0,0.38,1.01
MY_N8948862269,0.79,0.07,5.07
MY_N9038308803,12.95,4.97,6.68
MY_W968313453,0.0,1.0,1.1
MY_W968313454,6.68,5.15,5.15
MY_W968313455,0.08,0.42,0.49
MY_N3901607132,38.58,12.84,3.35
MY_N8971151860,5.02,2.84,2.47
MY_N3901150079,8.83,0.26,4.03
MY_N8971256083,7.81,6.61,2.82
MY_N3901607131,9.5,7.24,7.57
MY_N8946302294,0.12,0.0,0.86
MY_N3901607088,17.98,17.97,4.79
MY_N3901387616,13.92,7.48,15.04
MY_N3901607068,5.2,7.78,10.56
MY_N13858903199,0.0,0.0,0.0
MY_N13858903200,0.0,1.33,2.22
MY_N8015247585,5.03,4.59,5.29
MY_N3902995319,8.52,19.58,2.35
MY_W1435379188,0.0,0.0,0.48
MY_N8327095826,9.05,28.96,9.84
MY_N6833359897,16.57,20.55,1.47
MY_N3902995320,5.68,11.73,5.44
MY_W1318195110,2.93,4.71,1.97
MY_N8988150886,11.7,9.04,4.52
MY_N8988150887,15.77,11.98,8.34
MY_N8988150888,7.34,7.67,4.32
MY_N8988150889,19.2,9.49,7.41
MY_N8988150890,2.63,6.88,5.5
MY_N8988150892,8.69,12.85,13.62
MY_N8988150891,6.19,4.02,12.28
MY_N11148230157,5.83,17.91,9.28
MY_N8955815813,19.89,14.63,8.36
MY_N9040016333,5.83,29.5,12.48
MY_N9040016332,21.14,37.88,18.96
MY_N11099179697,0.98,0.0,0.72
MY_N8883327417,6.8,3.8,2.22
MY_N8370639164,4.14,8.04,1.69
MY_N13495665455,44.3,20.76,9.33
MY_N6034372552,9.89,22.29,7.42
MY_N13495459821,5.33,18.13,8.73
MY_N8482428335,2.87,0.7,3.85
MY_N9040016327,4.81,22.69,8.69
MY_N9040016329,6.17,2.5,3.58
MY_N9040016328,5.6,10.62,5.74
MY_N9040016326,3.13,4.05,5.76
MY_W526039065,0.83,0.0,0.97
MY_N13564516539,3.87,1.99,2.74
MY_N8899877343,3.4,4.88,5.79
MY_N8899964140,3.18,8.8,6.98
MY_N8899964135,10.97,17.96,9.76
MY_N8899990561,25.43,22.53,4.69
MY_N8899964134,23.33,11.86,4.73
MY_N11190210332,0.59,2.6,1.66
MY_N11190210319,5.89,7.16,6.31
MY_N8904189343,6.7,6.09,1.86
MY_N13502641928,10.82,47.84,3.97
MY_N8456957357,4.11,9.18,1.95
MY_N13251167214,0.0,0.0,0.0
MY_W1262090419,0.0,0.0,0.05
MY_N4027233384,9.23,8.68,4.66
MY_N3989115263,2.84,1.16,7.09
MY_N8927264925,19.44,26.2,6.28
MY_N8022325824,25.56,3.97,4.83
MY_N13507319534,1.65,1.32,6.21
MY_N13564968138,8.44,8.88,4.88
MY_N610175376,3.56,14.15,17.17
MY_N12383562688,5.96,26.67,10.28
MY_N12383562687,4.42,1.21,4.42
MY_N8930207046,7.09,11.62,6.0
MY_N13564515921,5.77,2.21,3.55
MY_N8930320928,0.39,0.0,5.11
MY_N13186063976,0.35,0.62,0.23
MY_N8935231315,2.86,1.86,0.35
MY_N8935231314,16.32,8.11,2.25
MY_N13544527378,13.37,21.81,14.68
MY_N9040099170,3.95,1.35,1.4
MY_W1264795110,0.94,1.08,4.86
MY_N8971623432,0.65,6.61,2.04
MY_N3902995318,27.4,31.4,5.52
MY_W1265004387,0.34,0.16,3.52
MY_N8647935020,8.91,5.41,11.26
