tower_id,state,n_corrective_36mo,months_in_service,lambda_true,needed_corrective_maintenance
MY_N8066614434,Perak,0,36.0,0.014785,0
MY_N8068563589,Perak,3,36.0,3.970643,1
MY_N5380592531,Perak,0,36.0,1.940725,0
MY_N2419619291,Selangor,0,36.0,6e-06,0
MY_N9938117617,Selangor,0,36.0,1.42028,0
MY_W1144244595,Perak,0,36.0,0.028279,0
MY_N8221431663,Perak,0,36.0,0.02722,0
MY_N11738300326,Selangor,20,36.0,18.551574,1
MY_W1259361634,Perak,0,36.0,0.090501,0
MY_N14031280271,Perak,0,36.0,4.3e-05,0
MY_N12603668089,Selangor,23,36.0,23.559099,1
MY_N5230359448,Perak,0,36.0,0.110797,0
MY_N8513142479,Selangor,0,36.0,0.005513,0
MY_N13331200729,Pahang,1,36.0,0.517528,1
MY_N12988846941,Pahang,0,36.0,0.041917,0
MY_N11361040488,Pahang,0,36.0,0.052854,0
MY_N4282405794,Pahang,0,36.0,0.070884,0
MY_N1989261313,Pahang,0,36.0,2.498502,0
MY_N4688736584,Pahang,0,36.0,0.1161,0
MY_N10230275358,Selangor,0,36.0,0.058649,0
MY_N12531429458,Selangor,19,36.0,20.29726,1
MY_N8659560397,Selangor,2,36.0,2.07255,1
MY_W1261862989,Perak,0,36.0,0.002588,0
MY_N8148777715,Selangor,0,36.0,0.102503,0
MY_N10224694924,Selangor,0,36.0,0.065367,0
MY_N12717364277,Selangor,0,36.0,0.055008,0
MY_W1258156597,Perak,0,36.0,0.001828,0
MY_N8088772324,Selangor,0,36.0,0.271373,0
MY_N10230298029,Selangor,0,36.0,0.010252,0
MY_N12926409708,Pahang,0,36.0,2.412704,0
MY_N8008855555,Selangor,1,36.0,0.227853,1
MY_W1552737108,Selangor,0,36.0,4e-06,0
MY_N12038575594,Selangor,0,36.0,0.013133,0
MY_N8490772188,Selangor,0,36.0,0.021121,0
MY_N8201683420,Selangor,0,36.0,0.002652,0
MY_N8202178174,Selangor,0,36.0,0.027535,0
MY_N12927458268,Selangor,0,36.0,0.009413,0
MY_N8009459244,Selangor,1,36.0,0.782443,1
MY_N8487785684,Selangor,0,36.0,0.007789,0
MY_N8487785683,Selangor,0,36.0,1.1e-05,0
MY_N8006989819,Selangor,0,36.0,0.668615,0
MY_N8125185377,Selangor,0,36.0,0.002218,0
MY_N8044656639,Selangor,7,36.0,3.412394,1
MY_N8148264450,Selangor,0,36.0,0.000307,0
MY_N10317040484,Selangor,0,36.0,0.000104,0
MY_N8044687304,Selangor,1,36.0,0.586389,1
MY_N8044671936,Selangor,0,36.0,0.17638,0
MY_N8044156760,Selangor,1,36.0,2.789624,1
MY_N10923563956,Selangor,0,36.0,0.012622,0
MY_N8143719855,Selangor,0,36.0,0.0,0
MY_N5599579030,Selangor,0,36.0,1.4e-05,0
MY_N8281177692,Selangor,0,36.0,0.005802,0
MY_N10672756622,Selangor,0,36.0,0.299166,0
MY_N8044980541,Selangor,27,36.0,28.793788,1
MY_N403749609,Selangor,0,36.0,0.000523,0
MY_N5453636981,Selangor,0,36.0,0.022681,0
MY_N4069889954,Selangor,3,36.0,1.825148,1
MY_N4749127191,Selangor,0,36.0,4.5e-05,0
MY_N8044342361,Selangor,0,36.0,0.000249,0
MY_N12042056319,Selangor,0,36.0,0.051983,0
MY_W972995057,Perak,0,36.0,0.000143,0
MY_N5788369100,Selangor,0,36.0,0.0,0
MY_N5788369099,Selangor,0,36.0,1.4e-05,0
MY_N8089011204,Perak,0,36.0,0.000117,0
MY_W1230312032,Selangor,0,36.0,0.0,0
MY_N4124017619,Selangor,0,36.0,3e-06,0
MY_N4225703452,Selangor,0,36.0,0.002582,0
MY_N4124017453,Selangor,0,36.0,0.000278,0
MY_N4124017454,Selangor,0,36.0,2.8e-05,0
MY_N4124069725,Selangor,0,36.0,6.2e-05,0
MY_N4124069726,Selangor,0,36.0,3e-05,0
MY_W1364627838,Selangor,0,36.0,5e-06,0
MY_N8385914978,Selangor,0,36.0,0.006683,0
MY_N4124069727,Selangor,0,36.0,0.000689,0
MY_N4124069728,Selangor,0,36.0,0.000283,0
MY_N8141381598,Selangor,0,36.0,1e-06,0
MY_N4124069729,Selangor,0,36.0,1.6e-05,0
MY_N11358783333,Selangor,0,36.0,0.002623,0
MY_N4124069730,Selangor,0,36.0,2.8e-05,0
MY_N11975720519,Selangor,0,36.0,0.000594,0
MY_W1258179518,Perak,0,36.0,0.002749,0
MY_W1286305455,Selangor,0,36.0,0.016031,0
MY_W1286305456,Selangor,0,36.0,0.035881,0
MY_N8141531800,Selangor,0,36.0,0.000368,0
MY_W1286305457,Selangor,0,36.0,2.6e-05,0
MY_N5462691797,Selangor,0,36.0,0.129408,0
MY_N412048097,Selangor,0,36.0,0.00294,0
MY_N412048098,Selangor,0,36.0,0.359886,0
MY_N13886055362,Selangor,0,36.0,7e-05,0
MY_N8082097597,Selangor,0,36.0,5.4e-05,0
MY_N11853239841,Selangor,0,36.0,0.000347,0
MY_N11403863828,Selangor,0,36.0,2.9e-05,0
MY_N8119252103,Selangor,0,36.0,0.174261,0
MY_N8004289377,Selangor,0,36.0,0.000626,0
MY_N9498642399,Selangor,0,36.0,2e-06,0
MY_N12133717335,Selangor,0,36.0,0.000517,0
MY_N8114405464,Selangor,0,36.0,2e-06,0
MY_N8081694353,Selangor,0,36.0,0.001166,0
MY_N12366513311,Selangor,0,36.0,0.000908,0
MY_N12366513312,Selangor,0,36.0,1.2e-05,0
MY_N1982558019,Selangor,0,36.0,8e-06,0
MY_N13763999844,Selangor,0,36.0,1.9e-05,0
MY_N13103629668,Selangor,0,36.0,2e-05,0
MY_N13103629669,Selangor,0,36.0,0.000536,0
MY_N13103629667,Selangor,0,36.0,0.002808,0
MY_N13103629670,Selangor,0,36.0,3.2e-05,0
MY_N8254911755,Selangor,0,36.0,2e-06,0
MY_N13103629671,Selangor,0,36.0,0.000142,0
MY_N5597298234,Selangor,0,36.0,1e-05,0
MY_W1262375280,Selangor,0,36.0,0.000526,0
MY_N8004208520,Selangor,1,36.0,0.462144,1
MY_N12384569108,Kuala Lumpur,0,36.0,4.4e-05,0
MY_N8255238093,Selangor,0,36.0,0.0,0
MY_N8120556662,Selangor,0,36.0,0.0,0
MY_N8255238086,Selangor,0,36.0,0.0,0
MY_N8255238092,Selangor,0,36.0,1e-06,0
MY_N7841645805,Selangor,0,36.0,0.000114,0
MY_N8081515935,Selangor,0,36.0,0.013209,0
MY_N8224457107,Selangor,0,36.0,0.225603,0
MY_W1259473617,Kelantan,0,36.0,0.156477,0
MY_N6093033474,Pahang,10,36.0,7.073576,1
MY_N11548619078,Selangor,0,36.0,1e-06,0
MY_N8146281229,Kuala Lumpur,0,36.0,3e-06,0
MY_N11529006459,Selangor,0,36.0,1e-06,0
MY_N8047942568,Selangor,0,36.0,5e-06,0
MY_W138669843,Selangor,0,36.0,1e-06,0
MY_W1264710479,Selangor,0,36.0,0.000193,0
MY_N11264702921,Kuala Lumpur,0,36.0,0.0,0
MY_N11346244297,Selangor,0,36.0,2e-06,0
MY_N13584271255,Kuala Lumpur,0,36.0,0.005465,0
MY_N12247796176,Selangor,0,36.0,0.000123,0
MY_N8048433914,Kuala Lumpur,0,36.0,0.0,0
MY_N12194813653,Putrajaya,0,36.0,0.007555,0
MY_N7842060099,Selangor,0,36.0,0.071853,0
MY_N9471829676,Kuala Lumpur,0,36.0,1.8e-05,0
MY_N9466091146,Kuala Lumpur,28,36.0,24.548002,1
MY_N11607769670,Kuala Lumpur,0,36.0,1e-05,0
MY_N9469280562,Kuala Lumpur,0,36.0,0.0,0
MY_N9469288221,Kuala Lumpur,0,36.0,0.0,0
MY_N10578741616,Putrajaya,0,36.0,1e-06,0
MY_N9469288220,Kuala Lumpur,0,36.0,0.0,0
MY_N11559092888,Kuala Lumpur,0,36.0,1e-06,0
MY_N12533942882,Kuala Lumpur,0,36.0,0.002146,0
MY_N12941843009,Kuala Lumpur,0,36.0,0.003163,0
MY_N12266031222,Kuala Lumpur,0,36.0,0.000215,0
MY_N4436507977,Selangor,28,36.0,28.371102,1
MY_W1285114522,Selangor,15,36.0,13.90396,1
MY_N9029115227,Selangor,0,36.0,0.019265,0
MY_N8542747596,Kuala Lumpur,0,36.0,1.9e-05,0
MY_W728820001,Kuala Lumpur,0,36.0,8e-06,0
MY_W728820002,Kuala Lumpur,35,36.0,24.442945,1
MY_W728820006,Kuala Lumpur,0,36.0,1.7e-05,0
MY_N8542747597,Kuala Lumpur,0,36.0,1.7e-05,0
MY_N8542747595,Kuala Lumpur,0,36.0,3e-06,0
MY_N11607773741,Kuala Lumpur,0,36.0,0.000268,0
MY_N8542747598,Kuala Lumpur,0,36.0,1e-05,0
MY_N11226315843,Selangor,0,36.0,0.037969,0
MY_N9504789637,Kuala Lumpur,2,36.0,4.847324,1
MY_N11768370522,Kuala Lumpur,0,36.0,0.008791,0
MY_N8058373534,Kuala Lumpur,0,36.0,0.000166,0
MY_N8058373535,Kuala Lumpur,0,36.0,0.009127,0
MY_N8058373539,Kuala Lumpur,0,36.0,0.013931,0
MY_N9602824113,Selangor,0,36.0,0.0,0
MY_N12167585701,Kuala Lumpur,0,36.0,0.003936,0
MY_N3765022576,Selangor,0,36.0,0.00125,0
MY_N12167585702,Kuala Lumpur,0,36.0,0.007994,0
MY_N3901579495,Selangor,0,36.0,1.5e-05,0
MY_N12167559700,Kuala Lumpur,0,36.0,0.786501,0
MY_N12167559699,Kuala Lumpur,0,36.0,0.001955,0
MY_N12182196429,Kuala Lumpur,0,36.0,4e-06,0
MY_N3902995339,Selangor,0,36.0,1.345761,0
MY_N7808912865,Selangor,0,36.0,3.9e-05,0
MY_N7808912864,Selangor,0,36.0,5e-05,0
MY_N7806418386,Kuala Lumpur,0,36.0,1e-06,0
MY_W1117797547,Kuala Lumpur,0,36.0,0.0,0
MY_W1117797548,Kuala Lumpur,0,36.0,0.0,0
MY_W545000403,Selangor,0,36.0,0.013694,0
MY_N7838524135,Selangor,0,36.0,0.010942,0
MY_N13247860091,Kelantan,0,36.0,3.5e-05,0
MY_N12264929850,Selangor,0,36.0,0.0,0
MY_W972394406,Selangor,1,36.0,0.977629,1
MY_N12068508652,Selangor,1,36.0,0.05332,1
MY_N12068508739,Selangor,0,36.0,0.004057,0
MY_W1545410223,Pahang,0,36.0,0.011227,0
MY_N6174781121,Kuala Lumpur,0,36.0,4.5e-05,0
MY_N8157413021,Kuala Lumpur,0,36.0,1.2e-05,0
MY_W1545410209,Pahang,0,36.0,1.1e-05,0
MY_W1545410197,Pahang,28,36.0,28.598258,1
MY_W1545410199,Pahang,0,36.0,0.00912,0
MY_W1259673925,Kelantan,7,36.0,9.658757,1
MY_N9759198822,Negeri Sembilan,0,36.0,1.77571,0
MY_N7838524117,Selangor,0,36.0,6e-06,0
MY_N13439298450,Selangor,0,36.0,0.000134,0
MY_N12152835803,Selangor,0,36.0,3e-06,0
MY_N3902995338,Selangor,0,36.0,0.265828,0
MY_N12152835735,Selangor,0,36.0,0.0,0
MY_N12145341915,Selangor,0,36.0,0.0,0
MY_N12141160951,Selangor,0,36.0,1.6e-05,0
MY_N12241218628,Selangor,0,36.0,0.000593,0
MY_N12111896153,Selangor,0,36.0,1.3e-05,0
MY_N12114343550,Selangor,0,36.0,0.0,0
MY_N12111896121,Selangor,0,36.0,0.0,0
MY_N12147506121,Selangor,0,36.0,1.2e-05,0
MY_N12145341985,Selangor,0,36.0,7.6e-05,0
MY_N12143414619,Selangor,0,36.0,1e-06,0
MY_N12137013089,Selangor,0,36.0,0.040573,0
MY_N12137013090,Selangor,0,36.0,0.018296,0
MY_N12110057369,Selangor,0,36.0,0.000676,0
MY_N12137013091,Selangor,18,36.0,28.029396,1
MY_N12241218640,Selangor,0,36.0,0.007525,0
MY_N12137013092,Selangor,0,36.0,0.051408,0
MY_N12137013099,Selangor,0,36.0,0.000973,0
MY_N12137013093,Selangor,0,36.0,0.105521,0
MY_N13015545329,Selangor,0,36.0,0.136456,0
MY_N12137013100,Selangor,0,36.0,0.01116,0
MY_N13015606466,Selangor,0,36.0,0.017359,0
MY_N12137013095,Selangor,0,36.0,1.3e-05,0
MY_N12137024408,Selangor,0,36.0,6e-06,0
MY_N13015545330,Selangor,0,36.0,0.135276,0
MY_N13015606467,Selangor,20,36.0,24.397017,1
MY_N12137024401,Selangor,0,36.0,0.004794,0
MY_N12137024407,Selangor,0,36.0,0.008222,0
MY_W545795634,Selangor,0,36.0,5.5e-05,0
MY_N12137013094,Selangor,0,36.0,0.004815,0
MY_N12137024409,Selangor,35,36.0,24.359235,1
MY_N13015606465,Selangor,0,36.0,0.027224,0
MY_N12137013096,Selangor,0,36.0,0.091876,0
MY_N13015606468,Selangor,0,36.0,0.020827,0
MY_N12137024402,Selangor,0,36.0,0.002155,0
MY_N7838524104,Pahang,0,36.0,2.2e-05,0
MY_N12137024406,Selangor,0,36.0,0.107805,0
MY_N13015606469,Selangor,0,36.0,1.4e-05,0
MY_N12137013097,Selangor,8,8.0,5.49199,1
MY_N12137024403,Selangor,0,36.0,0.02139,0
MY_N13015545328,Selangor,0,36.0,0.004767,0
MY_N13015606470,Selangor,0,36.0,0.073648,0
MY_N12137013080,Selangor,0,36.0,0.011894,0
MY_N12137013081,Selangor,0,36.0,0.041147,0
MY_N12137013082,Selangor,0,36.0,0.011346,0
MY_N12137013083,Selangor,0,36.0,0.00045,0
MY_N12137013098,Selangor,0,36.0,0.039066,0
MY_N12137013084,Selangor,0,36.0,0.010153,0
MY_N12137024404,Selangor,0,36.0,0.018059,0
MY_N12137013088,Selangor,1,36.0,0.143622,1
MY_N12137024405,Selangor,0,36.0,1.3e-05,0
MY_N12137013087,Selangor,30,36.0,28.311419,1
MY_N12137013085,Selangor,0,36.0,0.009854,0
MY_N13015545327,Selangor,0,36.0,0.030059,0
MY_N12137013086,Selangor,0,36.0,0.026524,0
MY_N7838524095,Pahang,0,36.0,1e-06,0
MY_N8214146544,Negeri Sembilan,0,36.0,0.041243,0
MY_N10943434976,Selangor,0,36.0,0.0,0
MY_W545795646,Selangor,0,36.0,0.000385,0
MY_W694482621,Selangor,0,36.0,2e-06,0
MY_N3902995337,Negeri Sembilan,0,36.0,0.043427,0
MY_W694495534,Selangor,0,36.0,2e-06,0
MY_N12169092717,Selangor,0,36.0,3.2e-05,0
MY_N10991780746,Selangor,0,36.0,0.0,0
MY_N13474572720,Selangor,0,36.0,0.000383,0
MY_N9944968255,Pahang,0,36.0,0.0,0
MY_N1945539635,Pahang,0,36.0,0.008704,0
MY_N12030488094,Selangor,0,36.0,0.001174,0
MY_N8063350945,Negeri Sembilan,0,36.0,0.005435,0
MY_N13845846105,Pahang,0,36.0,0.034364,0
MY_N13845846092,Pahang,0,36.0,2e-06,0
MY_N4200388722,Negeri Sembilan,0,36.0,0.0,0
MY_W1366117482,Pahang,0,36.0,0.028182,0
MY_N6142258135,Kelantan,0,36.0,0.001453,0
MY_N2425808221,Kelantan,0,36.0,1e-06,0
MY_N8084941767,Pahang,0,36.0,0.296548,0
MY_W1288067099,Selangor,0,36.0,0.003407,0
MY_N11257618116,Pahang,0,36.0,0.011253,0
MY_N11985118591,Negeri Sembilan,0,36.0,1e-06,0
MY_N7848117182,Kelantan,0,36.0,0.141784,0
MY_N14060840318,Negeri Sembilan,0,36.0,0.005642,0
MY_N11189951508,Negeri Sembilan,0,36.0,0.0,0
MY_N11189951504,Negeri Sembilan,0,36.0,0.00013,0
MY_N9126977972,Negeri Sembilan,0,36.0,0.023841,0
MY_N9126977973,Negeri Sembilan,0,36.0,0.000705,0
MY_N8735935858,Pahang,0,36.0,0.046977,0
MY_N8434323581,Kelantan,0,36.0,2e-06,0
MY_N8434323582,Kelantan,0,36.0,8.5e-05,0
MY_N3901579555,Pahang,0,36.0,0.335294,0
MY_W1367367946,Negeri Sembilan,3,36.0,1.604457,1
MY_N5510158257,Pahang,0,36.0,2.165244,0
MY_N8261057768,Negeri Sembilan,0,36.0,1.7e-05,0
MY_N5510158263,Pahang,0,36.0,0.063519,0
MY_N5510158299,Pahang,0,36.0,7e-06,0
MY_N5510158305,Pahang,0,36.0,0.088692,0
MY_N3901579514,Pahang,0,36.0,0.012579,0
MY_N8259081451,Negeri Sembilan,0,36.0,0.010807,0
MY_N5510158307,Pahang,0,36.0,0.60105,0
MY_N9006098842,Negeri Sembilan,14,36.0,13.510124,1
MY_W1368598193,Negeri Sembilan,4,36.0,2.57266,1
MY_N8032528770,Negeri Sembilan,0,36.0,0.212156,0
MY_N5742976628,Negeri Sembilan,20,36.0,25.942842,1
MY_W1368699691,Negeri Sembilan,0,36.0,1.3e-05,0
MY_W1368623543,Negeri Sembilan,0,36.0,0.356167,0
MY_N9621355555,Pahang,0,36.0,0.47598,0
MY_N11241526897,Negeri Sembilan,0,36.0,0.017811,0
MY_N3273231502,Negeri Sembilan,0,36.0,0.113228,0
MY_N11241526902,Negeri Sembilan,1,36.0,0.448896,1
MY_N3273231509,Negeri Sembilan,0,36.0,0.000182,0
MY_N8752918921,Pahang,0,36.0,0.084061,0
MY_W1372701089,Negeri Sembilan,0,36.0,0.000417,0
MY_N4663189043,Negeri Sembilan,0,36.0,0.001437,0
MY_W1381588641,Negeri Sembilan,0,36.0,0.000988,0
MY_N10230277433,Malacca,0,36.0,0.000274,0
MY_N13713417878,Kelantan,0,36.0,0.610889,0
MY_N8459640140,Malacca,0,36.0,1.1e-05,0
MY_N9038308805,Kelantan,1,36.0,0.07021,1
MY_N13686660305,Kelantan,0,36.0,0.132361,0
MY_W1533443392,Negeri Sembilan,0,36.0,2.5e-05,0
MY_N13712401727,Kelantan,5,36.0,13.287815,1
MY_N8025981358,Negeri Sembilan,0,36.0,0.131337,0
MY_N8025859449,Negeri Sembilan,25,36.0,26.537133,1
MY_N13663195383,Kelantan,0,36.0,0.04028,0
MY_N13663195381,Kelantan,0,36.0,0.005759,0
MY_N13663195382,Kelantan,4,36.0,1.837732,1
MY_N13663195380,Kelantan,0,36.0,0.030984,0
MY_N4193669752,Negeri Sembilan,0,36.0,1.3e-05,0
MY_W1383475622,Negeri Sembilan,4,36.0,2.59033,1
MY_W1491528657,Kelantan,0,36.0,0.494136,0
MY_N8778604184,Kelantan,0,36.0,0.009251,0
MY_N8348937880,Pahang,1,36.0,3.643887,1
MY_N8277786902,Negeri Sembilan,0,36.0,0.007865,0
MY_N13686353602,Kelantan,0,36.0,0.007553,0
MY_N13678931196,Kelantan,0,36.0,0.085058,0
MY_N8780937436,Malacca,0,36.0,1.9e-05,0
MY_N8780937437,Malacca,0,36.0,2e-06,0
MY_N8780937438,Malacca,0,36.0,0.0,0
MY_N8025609742,Negeri Sembilan,3,36.0,2.708857,1
MY_N13805621364,Pahang,0,36.0,0.034015,0
MY_N8785448481,Pahang,0,36.0,0.002054,0
MY_W823099395,Kelantan,0,36.0,1.7e-05,0
MY_W823097930,Kelantan,0,36.0,0.0,0
MY_N13678930905,Kelantan,30,36.0,28.799868,1
MY_W1456021260,Kelantan,0,36.0,0.034714,0
MY_N13686353632,Kelantan,0,36.0,0.006013,0
MY_W1492305145,Kelantan,1,36.0,0.165066,1
MY_N3902995326,Malacca,22,36.0,22.124455,1
MY_N3902995325,Malacca,0,36.0,0.006753,0
MY_N8789765101,Negeri Sembilan,0,36.0,0.000217,0
MY_W818384093,Kelantan,0,36.0,0.023015,0
MY_N13685405063,Kelantan,1,36.0,3.583921,1
MY_N3902995324,Malacca,0,36.0,0.000503,0
MY_N4958058752,Malacca,0,36.0,0.000797,0
MY_N12546408507,Kelantan,6,36.0,7.849582,1
