ticket_id,tower_id,opened_date,closed_date,work_type,crew_type,root_cause,downtime_hours,cost_myr,is_corrective
WO_000138,MY_N8935231315,2023-09-30,2023-10-01,scheduled_inspection,civil,scheduled_inspection,0.7,412,False
WO_000139,MY_N9038308805,2023-09-30,2023-10-01,scheduled_inspection,civil,scheduled_inspection,1.5,543,False
WO_000140,MY_N11659562129,2023-10-01,2023-10-05,vegetation_clearance,civil,vegetation,5.0,3926,True
WO_000141,MY_N12137013087,2023-10-01,2023-10-05,vegetation_clearance,civil,vegetation,5.1,3724,True
WO_000142,MY_N13979312124,2023-10-01,2023-10-05,vegetation_clearance,civil,vegetation,2.5,2385,True
WO_000143,MY_N11167076406,2023-10-02,2023-10-07,raise_cabinet_and_seal,civil,flood,8.0,3077,True
WO_000144,MY_N12135759497,2023-10-03,2023-10-05,vegetation_clearance,civil,vegetation,8.8,872,True
WO_000145,MY_N7806418386,2023-10-03,2023-10-04,scheduled_inspection,civil,scheduled_inspection,1.3,542,False
WO_000146,MY_W1254490022,2023-10-03,2023-10-04,scheduled_inspection,civil,scheduled_inspection,1.3,631,False
WO_000147,MY_W1255218617,2023-10-03,2023-10-04,scheduled_inspection,civil,scheduled_inspection,3.0,1090,False
WO_000148,MY_W1267147818,2023-10-03,2023-10-04,scheduled_inspection,civil,scheduled_inspection,2.0,50,False
WO_000149,MY_W1303814691,2023-10-03,2023-10-04,scheduled_inspection,civil,scheduled_inspection,1.4,1116,False
WO_000150,MY_N11484371222,2023-10-04,2023-10-09,vegetation_clearance,civil,vegetation,4.7,1211,True
WO_000151,MY_N12058759613,2023-10-04,2023-10-09,raise_cabinet_and_seal,civil,flood,1.4,4396,True
WO_000152,MY_N12137013093,2023-10-04,2023-10-05,scheduled_inspection,civil,scheduled_inspection,3.5,704,False
WO_000153,MY_N1662564012,2023-10-04,2023-10-08,raise_cabinet_and_seal,civil,flood,6.7,884,True
WO_000154,MY_N7033248825,2023-10-04,2023-10-08,vegetation_clearance,civil,vegetation,14.6,3950,True
WO_000155,MY_N11659562131,2023-10-05,2023-10-06,radio_unit_refresh,rf,equipment,6.7,1925,True
WO_000156,MY_N6418052180,2023-10-05,2023-10-06,scheduled_inspection,civil,scheduled_inspection,2.3,1801,False
WO_000157,MY_N11875484224,2023-10-06,2023-10-10,raise_cabinet_and_seal,civil,flood,7.2,1562,True
WO_000158,MY_N12058759613,2023-10-06,2023-10-08,raise_cabinet_and_seal,civil,flood,3.7,1455,True
WO_000159,MY_N12773184677,2023-10-06,2023-10-08,raise_cabinet_and_seal,civil,flood,3.4,1417,True
WO_000160,MY_N3902995230,2023-10-06,2023-10-07,scheduled_inspection,civil,scheduled_inspection,2.0,417,False
WO_000161,MY_N4436507977,2023-10-06,2023-10-11,raise_cabinet_and_seal,civil,flood,11.5,2632,True
WO_000162,MY_W823097930,2023-10-06,2023-10-07,scheduled_inspection,civil,scheduled_inspection,1.6,1533,False
WO_000163,MY_N13103284367,2023-10-07,2023-10-08,scheduled_inspection,civil,scheduled_inspection,1.9,501,False
WO_000164,MY_N10801806749,2023-10-08,2023-10-12,raise_cabinet_and_seal,civil,flood,3.5,2321,True
WO_000165,MY_N11659562142,2023-10-08,2023-10-12,raise_cabinet_and_seal,civil,flood,6.6,3453,True
WO_000166,MY_N11755867459,2023-10-08,2023-10-13,vegetation_clearance,civil,vegetation,4.8,1524,True
WO_000167,MY_N11815789148,2023-10-08,2023-10-09,scheduled_inspection,civil,scheduled_inspection,1.4,233,False
WO_000168,MY_N8422298542,2023-10-08,2023-10-11,vegetation_clearance,civil,vegetation,1.3,2340,True
WO_000169,MY_N12548986934,2023-10-09,2023-10-11,battery_genset_service,power,power,1.5,588,True
WO_000170,MY_N13979312124,2023-10-09,2023-10-14,raise_cabinet_and_seal,civil,flood,8.1,3899,True
WO_000171,MY_N8047942568,2023-10-09,2023-10-10,scheduled_inspection,civil,scheduled_inspection,2.1,243,False
WO_000172,MY_N12270851329,2023-10-10,2023-10-11,vegetation_clearance,civil,vegetation,7.1,1060,True
WO_000173,MY_N8923088437,2023-10-10,2023-10-14,raise_cabinet_and_seal,civil,flood,1.3,1797,True
WO_000174,MY_W1312400608,2023-10-10,2023-10-11,scheduled_inspection,civil,scheduled_inspection,4.0,1682,False
WO_000175,MY_W728820002,2023-10-10,2023-10-12,raise_cabinet_and_seal,civil,flood,12.1,759,True
WO_000176,MY_N12309364294,2023-10-11,2023-10-14,raise_cabinet_and_seal,civil,flood,2.4,1574,True
WO_000177,MY_N4436507977,2023-10-11,2023-10-14,raise_cabinet_and_seal,civil,flood,1.3,1975,True
WO_000178,MY_W1285114522,2023-10-11,2023-10-13,radio_unit_refresh,rf,equipment,6.2,2395,True
WO_000179,MY_N11513739731,2023-10-12,2023-10-16,raise_cabinet_and_seal,civil,flood,8.2,3320,True
WO_000180,MY_N506433555,2023-10-12,2023-10-13,battery_genset_service,power,power,2.8,5795,True
WO_000181,MY_N9040016333,2023-10-12,2023-10-15,slope_stabilize_and_tension,civil,terrain,5.5,1759,True
WO_000182,MY_N7049747274,2023-10-13,2023-10-14,scheduled_inspection,civil,scheduled_inspection,0.9,1030,False
WO_000183,MY_N9003249367,2023-10-13,2023-10-15,vegetation_clearance,civil,vegetation,8.6,2712,True
WO_000184,MY_N1662564012,2023-10-14,2023-10-17,raise_cabinet_and_seal,civil,flood,5.7,2790,True
WO_000185,MY_N8812260333,2023-10-14,2023-10-18,vegetation_clearance,civil,vegetation,3.8,403,True
WO_000186,MY_W1265004387,2023-10-14,2023-10-15,scheduled_inspection,civil,scheduled_inspection,2.6,527,False
WO_000187,MY_N12058759613,2023-10-15,2023-10-16,raise_cabinet_and_seal,civil,flood,10.8,1427,True
WO_000188,MY_N13979312124,2023-10-15,2023-10-18,raise_cabinet_and_seal,civil,flood,1.8,245,True
WO_000189,MY_W1230312032,2023-10-15,2023-10-16,scheduled_inspection,civil,scheduled_inspection,0.6,274,False
WO_000190,MY_N12383562688,2023-10-16,2023-10-21,vegetation_clearance,civil,vegetation,1.0,4116,True
WO_000191,MY_N11962284837,2023-10-18,2023-10-19,scheduled_inspection,civil,scheduled_inspection,5.0,1536,False
WO_000192,MY_N12177011818,2023-10-18,2023-10-19,scheduled_inspection,civil,scheduled_inspection,1.5,1349,False
WO_000193,MY_N12889290231,2023-10-18,2023-10-23,raise_cabinet_and_seal,civil,flood,2.8,4268,True
WO_000194,MY_N2894780935,2023-10-18,2023-10-22,vegetation_clearance,civil,vegetation,12.4,2326,True
WO_000195,MY_N12135373696,2023-10-19,2023-10-23,raise_cabinet_and_seal,civil,flood,2.3,553,True
WO_000196,MY_N13015606469,2023-10-19,2023-10-20,scheduled_inspection,civil,scheduled_inspection,2.6,911,False
WO_000197,MY_N13517883535,2023-10-19,2023-10-24,battery_genset_service,power,power,5.8,854,True
WO_000198,MY_N8191059241,2023-10-19,2023-10-22,battery_genset_service,power,power,12.7,4636,True
WO_000199,MY_N8327095826,2023-10-19,2023-10-20,battery_genset_service,power,power,5.4,2941,True
WO_000200,MY_N8899964135,2023-10-19,2023-10-20,scheduled_inspection,civil,scheduled_inspection,1.4,527,False
WO_000201,MY_N5742976628,2023-10-20,2023-10-22,raise_cabinet_and_seal,civil,flood,1.6,2442,True
WO_000202,MY_N8987661324,2023-10-20,2023-10-22,battery_genset_service,power,power,5.9,6196,True
WO_000203,MY_N12135375711,2023-10-21,2023-10-25,raise_cabinet_and_seal,civil,flood,3.4,519,True
WO_000204,MY_N12531429458,2023-10-21,2023-10-22,slope_stabilize_and_tension,civil,terrain,6.8,2530,True
WO_000205,MY_N13891743611,2023-10-21,2023-10-24,battery_genset_service,power,power,4.0,4314,True
WO_000206,MY_N7806418386,2023-10-21,2023-10-22,scheduled_inspection,civil,scheduled_inspection,0.6,485,False
WO_000207,MY_N8025859449,2023-10-21,2023-10-23,battery_genset_service,power,power,5.4,2324,True
WO_000208,MY_N12546408507,2023-10-22,2023-10-27,raise_cabinet_and_seal,civil,flood,7.5,1962,True
WO_000209,MY_N13103284367,2023-10-22,2023-10-27,vegetation_clearance,civil,vegetation,15.0,3333,True
WO_000210,MY_N13326193730,2023-10-22,2023-10-25,slope_stabilize_and_tension,civil,terrain,1.1,386,True
WO_000211,MY_W1304210538,2023-10-22,2023-10-23,scheduled_inspection,civil,scheduled_inspection,1.2,75,False
WO_000212,MY_N11659562129,2023-10-23,2023-10-28,radio_unit_refresh,rf,equipment,2.3,584,True
WO_000213,MY_N13057626241,2023-10-23,2023-10-24,scheduled_inspection,civil,scheduled_inspection,4.2,371,False
WO_000214,MY_W1312400608,2023-10-23,2023-10-24,scheduled_inspection,civil,scheduled_inspection,0.4,282,False
WO_000215,MY_N12097355159,2023-10-24,2023-10-25,scheduled_inspection,civil,scheduled_inspection,1.5,304,False
WO_000216,MY_N12270341400,2023-10-24,2023-10-25,vegetation_clearance,civil,vegetation,3.4,127,True
WO_000217,MY_N4822914443,2023-10-24,2023-10-25,scheduled_inspection,civil,scheduled_inspection,1.0,1131,False
WO_000218,MY_N9504789637,2023-10-24,2023-10-25,raise_cabinet_and_seal,civil,flood,6.6,1869,True
WO_000219,MY_N12270851329,2023-10-25,2023-10-27,vegetation_clearance,civil,vegetation,4.2,4706,True
WO_000220,MY_N11388862434,2023-10-26,2023-10-27,battery_genset_service,power,power,2.5,5848,True
WO_000221,MY_W1315123577,2023-10-26,2023-10-27,vegetation_clearance,civil,vegetation,6.4,1446,True
WO_000222,MY_N13979312124,2023-10-27,2023-10-31,raise_cabinet_and_seal,civil,flood,6.4,1882,True
WO_000223,MY_N3765699324,2023-10-27,2023-11-01,raise_cabinet_and_seal,civil,flood,4.4,1214,True
WO_000224,MY_N11659562130,2023-10-28,2023-10-29,scheduled_inspection,civil,scheduled_inspection,4.5,197,False
WO_000225,MY_N3234716501,2023-10-28,2023-10-29,scheduled_inspection,civil,scheduled_inspection,1.4,1950,False
WO_000226,MY_N3623334350,2023-10-28,2023-10-29,scheduled_inspection,civil,scheduled_inspection,2.3,1043,False
WO_000227,MY_N8143719855,2023-10-29,2023-10-30,scheduled_inspection,civil,scheduled_inspection,0.5,522,False
WO_000228,MY_N2782631993,2023-10-30,2023-10-31,scheduled_inspection,civil,scheduled_inspection,1.7,616,False
WO_000229,MY_N6745537234,2023-11-01,2023-11-06,slope_stabilize_and_tension,civil,terrain,5.1,215,True
WO_000230,MY_W1386907231,2023-11-01,2023-11-06,vegetation_clearance,civil,vegetation,5.4,8907,True
WO_000231,MY_N11990327538,2023-11-02,2023-11-03,slope_stabilize_and_tension,civil,terrain,1.7,449,True
WO_000232,MY_N11472433066,2023-11-03,2023-11-07,raise_cabinet_and_seal,civil,flood,1.7,2047,True
WO_000233,MY_N11609644622,2023-11-03,2023-11-07,raise_cabinet_and_seal,civil,flood,6.9,3789,True
WO_000234,MY_N13015606467,2023-11-03,2023-11-05,raise_cabinet_and_seal,civil,flood,5.5,1630,True
WO_000235,MY_N7033248825,2023-11-03,2023-11-04,raise_cabinet_and_seal,civil,flood,9.9,2751,True
WO_000236,MY_N8377840940,2023-11-03,2023-11-06,slope_stabilize_and_tension,civil,terrain,5.6,1752,True
WO_000237,MY_N9466091146,2023-11-03,2023-11-06,raise_cabinet_and_seal,civil,flood,1.0,6460,True
WO_000238,MY_N11806114326,2023-11-04,2023-11-05,raise_cabinet_and_seal,civil,flood,2.6,1340,True
WO_000239,MY_W1270085203,2023-11-04,2023-11-08,raise_cabinet_and_seal,civil,flood,8.0,1721,True
WO_000240,MY_N10801806749,2023-11-05,2023-11-10,raise_cabinet_and_seal,civil,flood,3.9,666,True
WO_000241,MY_N12131514585,2023-11-05,2023-11-10,raise_cabinet_and_seal,civil,flood,0.3,781,True
WO_000242,MY_N11167076406,2023-11-06,2023-11-10,battery_genset_service,power,power,5.0,2013,True
WO_000243,MY_N13326193730,2023-11-06,2023-11-11,vegetation_clearance,civil,vegetation,4.9,6476,True
WO_000244,MY_N506433555,2023-11-06,2023-11-10,radio_unit_refresh,rf,equipment,3.1,4688,True
WO_000245,MY_N7806418386,2023-11-06,2023-11-07,scheduled_inspection,civil,scheduled_inspection,1.9,1089,False
WO_000246,MY_N8044656639,2023-11-06,2023-11-10,raise_cabinet_and_seal,civil,flood,1.6,3347,True
WO_000247,MY_N11167076406,2023-11-07,2023-11-08,battery_genset_service,power,power,7.3,919,True
WO_000248,MY_N11659562128,2023-11-07,2023-11-12,raise_cabinet_and_seal,civil,flood,2.9,1197,True
